Crop Type,District,Agro_Climactic_Zone,Soil_Type,Year,AREA(ha),Rainfall_Sowing_Kharif(mm),Rainfall_Peak_Kharif(mm),Rainfall_Flowering_Kharif(mm),Total_Rainfall(mm),Avg_Water_Deficit(m³/ha),Rainfall_Water_Ratio,Water_Deficit_Sowing_Kharif(m³/ha),Water_Deficit_Peak_Kharif(m³/ha),Water_Deficit_Flowering_Kharif(m³/ha),YIELD(kg/ha),N Ratio(kg/ha),P Ratio(kg/ha),K Ratio(kg/ha),Soil_PH,Soil N (kg/ha),Soill P (kg/ha),Soil K (kg/ha)
CASTOR,Balasore,North Eastern Coastal Plain,Alluvial Soil,1993,1.49,379,453.2,467.4,1299.6,1927.660874,1.233130837,1788.242702,2940.837153,1053.902766,597.32,19,19,19,5.8,120,11,190
CHICKPEA,Balasore,North Eastern Coastal Plain,Alluvial Soil,1993,0.74,379,453.2,467.4,1299.6,1927.660874,1.233130837,1788.242702,2940.837153,1053.902766,378.38,19,19,19,5.8,120,11,190
GROUNDNUT,Balasore,North Eastern Coastal Plain,Alluvial Soil,1993,9.72,379,453.2,467.4,1299.6,1927.660874,1.233130837,1788.242702,2940.837153,1053.902766,1157.41,19,19,19,5.8,120,11,190
MAIZE,Balasore,North Eastern Coastal Plain,Alluvial Soil,1993,1.65,379,453.2,467.4,1299.6,1927.660874,1.233130837,1788.242702,2940.837153,1053.902766,1248.48,19,19,19,5.8,120,11,190
MINOR PULSES,Balasore,North Eastern Coastal Plain,Alluvial Soil,1993,99.39,379,453.2,467.4,1299.6,1927.660874,1.233130837,1788.242702,2940.837153,1053.902766,467.35,19,19,19,5.8,120,11,190
OILSEEDS,Balasore,North Eastern Coastal Plain,Alluvial Soil,1993,33.42,379,453.2,467.4,1299.6,1927.660874,1.233130837,1788.242702,2940.837153,1053.902766,666.07,19,19,19,5.8,120,11,190
PIGEONPEA,Balasore,North Eastern Coastal Plain,Alluvial Soil,1993,1.14,379,453.2,467.4,1299.6,1927.660874,1.233130837,1788.242702,2940.837153,1053.902766,578.95,19,19,19,5.8,120,11,190
RICE,Balasore,North Eastern Coastal Plain,Alluvial Soil,1993,444.33,379,453.2,467.4,1299.6,1927.660874,1.233130837,1788.242702,2940.837153,1053.902766,1446.72,19,19,19,5.8,120,11,190
SAFFLOWER,Balasore,North Eastern Coastal Plain,Alluvial Soil,1993,0.14,379,453.2,467.4,1299.6,1927.660874,1.233130837,1788.242702,2940.837153,1053.902766,500,19,19,19,5.8,120,11,190
SESAMUM,Balasore,North Eastern Coastal Plain,Alluvial Soil,1993,6.44,379,453.2,467.4,1299.6,1927.660874,1.233130837,1788.242702,2940.837153,1053.902766,481.37,19,19,19,5.8,120,11,190
SUNFLOWER,Balasore,North Eastern Coastal Plain,Alluvial Soil,1993,0.12,379,453.2,467.4,1299.6,1927.660874,1.233130837,1788.242702,2940.837153,1053.902766,500,19,19,19,5.8,120,11,190
CASTOR,Balasore,North Eastern Coastal Plain,Alluvial Soil,1994,1.41,326,363.5,278.8,968.3,2163.857168,0.550375628,1737.286818,2994.940793,1759.343894,595.74,19,19,19,5.8,120,11,190
CHICKPEA,Balasore,North Eastern Coastal Plain,Alluvial Soil,1994,0.8,326,363.5,278.8,968.3,2163.857168,0.550375628,1737.286818,2994.940793,1759.343894,562.5,19,19,19,5.8,120,11,190
GROUNDNUT,Balasore,North Eastern Coastal Plain,Alluvial Soil,1994,10.02,326,363.5,278.8,968.3,2163.857168,0.550375628,1737.286818,2994.940793,1759.343894,1648.7,19,19,19,5.8,120,11,190
MAIZE,Balasore,North Eastern Coastal Plain,Alluvial Soil,1994,1.64,326,363.5,278.8,968.3,2163.857168,0.550375628,1737.286818,2994.940793,1759.343894,1335.37,19,19,19,5.8,120,11,190
MINOR PULSES,Balasore,North Eastern Coastal Plain,Alluvial Soil,1994,94.09,326,363.5,278.8,968.3,2163.857168,0.550375628,1737.286818,2994.940793,1759.343894,563.18,19,19,19,5.8,120,11,190
OILSEEDS,Balasore,North Eastern Coastal Plain,Alluvial Soil,1994,31,326,363.5,278.8,968.3,2163.857168,0.550375628,1737.286818,2994.940793,1759.343894,857.1,19,19,19,5.8,120,11,190
PIGEONPEA,Balasore,North Eastern Coastal Plain,Alluvial Soil,1994,0.94,326,363.5,278.8,968.3,2163.857168,0.550375628,1737.286818,2994.940793,1759.343894,744.68,19,19,19,5.8,120,11,190
RICE,Balasore,North Eastern Coastal Plain,Alluvial Soil,1994,447.28,326,363.5,278.8,968.3,2163.857168,0.550375628,1737.286818,2994.940793,1759.343894,1431.97,19,19,19,5.8,120,11,190
SAFFLOWER,Balasore,North Eastern Coastal Plain,Alluvial Soil,1994,0.07,326,363.5,278.8,968.3,2163.857168,0.550375628,1737.286818,2994.940793,1759.343894,428.57,19,19,19,5.8,120,11,190
SESAMUM,Balasore,North Eastern Coastal Plain,Alluvial Soil,1994,5.3,326,363.5,278.8,968.3,2163.857168,0.550375628,1737.286818,2994.940793,1759.343894,590.57,19,19,19,5.8,120,11,190
SUNFLOWER,Balasore,North Eastern Coastal Plain,Alluvial Soil,1994,0.09,326,363.5,278.8,968.3,2163.857168,0.550375628,1737.286818,2994.940793,1759.343894,444.44,19,19,19,5.8,120,11,190
CASTOR,Balasore,North Eastern Coastal Plain,Alluvial Soil,1995,1.33,200.3,429.5,122.3,752.1,2164.318389,0.440406458,1778.301218,3006.913323,1707.740625,669.17,19,19,19,5.8,120,11,190
CHICKPEA,Balasore,North Eastern Coastal Plain,Alluvial Soil,1995,0.73,200.3,429.5,122.3,752.1,2164.318389,0.440406458,1778.301218,3006.913323,1707.740625,589.04,19,19,19,5.8,120,11,190
GROUNDNUT,Balasore,North Eastern Coastal Plain,Alluvial Soil,1995,10.09,200.3,429.5,122.3,752.1,2164.318389,0.440406458,1778.301218,3006.913323,1707.740625,1699.7,19,19,19,5.8,120,11,190
MAIZE,Balasore,North Eastern Coastal Plain,Alluvial Soil,1995,1.65,200.3,429.5,122.3,752.1,2164.318389,0.440406458,1778.301218,3006.913323,1707.740625,1400,19,19,19,5.8,120,11,190
MINOR PULSES,Balasore,North Eastern Coastal Plain,Alluvial Soil,1995,80.04,200.3,429.5,122.3,752.1,2164.318389,0.440406458,1778.301218,3006.913323,1707.740625,614.57,19,19,19,5.8,120,11,190
OILSEEDS,Balasore,North Eastern Coastal Plain,Alluvial Soil,1995,26.58,200.3,429.5,122.3,752.1,2164.318389,0.440406458,1778.301218,3006.913323,1707.740625,980.81,19,19,19,5.8,120,11,190
PIGEONPEA,Balasore,North Eastern Coastal Plain,Alluvial Soil,1995,0.81,200.3,429.5,122.3,752.1,2164.318389,0.440406458,1778.301218,3006.913323,1707.740625,308.64,19,19,19,5.8,120,11,190
RICE,Balasore,North Eastern Coastal Plain,Alluvial Soil,1995,436.61,200.3,429.5,122.3,752.1,2164.318389,0.440406458,1778.301218,3006.913323,1707.740625,1391.56,19,19,19,5.8,120,11,190
SESAMUM,Balasore,North Eastern Coastal Plain,Alluvial Soil,1995,4.9,200.3,429.5,122.3,752.1,2164.318389,0.440406458,1778.301218,3006.913323,1707.740625,612.24,19,19,19,5.8,120,11,190
SUNFLOWER,Balasore,North Eastern Coastal Plain,Alluvial Soil,1995,0.03,200.3,429.5,122.3,752.1,2164.318389,0.440406458,1778.301218,3006.913323,1707.740625,333.33,19,19,19,5.8,120,11,190
CASTOR,Balasore,North Eastern Coastal Plain,Alluvial Soil,1996,1.06,278.1,388.4,242.4,908.9,2061.80283,0.786964713,1922.137418,3108.327293,1154.943779,547.17,19,19,19,5.8,120,11,190
CHICKPEA,Balasore,North Eastern Coastal Plain,Alluvial Soil,1996,0.88,278.1,388.4,242.4,908.9,2061.80283,0.786964713,1922.137418,3108.327293,1154.943779,545.45,19,19,19,5.8,120,11,190
GROUNDNUT,Balasore,North Eastern Coastal Plain,Alluvial Soil,1996,8.59,278.1,388.4,242.4,908.9,2061.80283,0.786964713,1922.137418,3108.327293,1154.943779,1342.26,19,19,19,5.8,120,11,190
MAIZE,Balasore,North Eastern Coastal Plain,Alluvial Soil,1996,1.41,278.1,388.4,242.4,908.9,2061.80283,0.786964713,1922.137418,3108.327293,1154.943779,1219.86,19,19,19,5.8,120,11,190
MINOR PULSES,Balasore,North Eastern Coastal Plain,Alluvial Soil,1996,51.05,278.1,388.4,242.4,908.9,2061.80283,0.786964713,1922.137418,3108.327293,1154.943779,377.67,19,19,19,5.8,120,11,190
OILSEEDS,Balasore,North Eastern Coastal Plain,Alluvial Soil,1996,23.38,278.1,388.4,242.4,908.9,2061.80283,0.786964713,1922.137418,3108.327293,1154.943779,758.77,19,19,19,5.8,120,11,190
PIGEONPEA,Balasore,North Eastern Coastal Plain,Alluvial Soil,1996,0.42,278.1,388.4,242.4,908.9,2061.80283,0.786964713,1922.137418,3108.327293,1154.943779,714.29,19,19,19,5.8,120,11,190
RICE,Balasore,North Eastern Coastal Plain,Alluvial Soil,1996,436.65,278.1,388.4,242.4,908.9,2061.80283,0.786964713,1922.137418,3108.327293,1154.943779,1024.73,19,19,19,5.8,120,11,190
SESAMUM,Balasore,North Eastern Coastal Plain,Alluvial Soil,1996,2.71,278.1,388.4,242.4,908.9,2061.80283,0.786964713,1922.137418,3108.327293,1154.943779,428.04,19,19,19,5.8,120,11,190
SUNFLOWER,Balasore,North Eastern Coastal Plain,Alluvial Soil,1996,0.09,278.1,388.4,242.4,908.9,2061.80283,0.786964713,1922.137418,3108.327293,1154.943779,444.44,19,19,19,5.8,120,11,190
CASTOR,Balasore,North Eastern Coastal Plain,Alluvial Soil,1997,0.48,223.1,643.3,313.2,1179.6,2137.011745,0.727672703,1866.963221,2923.013543,1621.058471,500,19,19,19,5.8,120,11,190
CHICKPEA,Balasore,North Eastern Coastal Plain,Alluvial Soil,1997,0.52,223.1,643.3,313.2,1179.6,2137.011745,0.727672703,1866.963221,2923.013543,1621.058471,480.77,19,19,19,5.8,120,11,190
GROUNDNUT,Balasore,North Eastern Coastal Plain,Alluvial Soil,1997,8.19,223.1,643.3,313.2,1179.6,2137.011745,0.727672703,1866.963221,2923.013543,1621.058471,1197.8,19,19,19,5.8,120,11,190
MAIZE,Balasore,North Eastern Coastal Plain,Alluvial Soil,1997,1,223.1,643.3,313.2,1179.6,2137.011745,0.727672703,1866.963221,2923.013543,1621.058471,690,19,19,19,5.8,120,11,190
MINOR PULSES,Balasore,North Eastern Coastal Plain,Alluvial Soil,1997,48.35,223.1,643.3,313.2,1179.6,2137.011745,0.727672703,1866.963221,2923.013543,1621.058471,460.19,19,19,19,5.8,120,11,190
OILSEEDS,Balasore,North Eastern Coastal Plain,Alluvial Soil,1997,18.02,223.1,643.3,313.2,1179.6,2137.011745,0.727672703,1866.963221,2923.013543,1621.058471,697.56,19,19,19,5.8,120,11,190
PIGEONPEA,Balasore,North Eastern Coastal Plain,Alluvial Soil,1997,0.36,223.1,643.3,313.2,1179.6,2137.011745,0.727672703,1866.963221,2923.013543,1621.058471,444.44,19,19,19,5.8,120,11,190
RICE,Balasore,North Eastern Coastal Plain,Alluvial Soil,1997,434.43,223.1,643.3,313.2,1179.6,2137.011745,0.727672703,1866.963221,2923.013543,1621.058471,1618.53,19,19,19,5.8,120,11,190
SESAMUM,Balasore,North Eastern Coastal Plain,Alluvial Soil,1997,2.31,223.1,643.3,313.2,1179.6,2137.011745,0.727672703,1866.963221,2923.013543,1621.058471,225.11,19,19,19,5.8,120,11,190
CASTOR,Balasore,North Eastern Coastal Plain,Alluvial Soil,1998,0.28,340.2,423.2,213.9,977.3,2335.773156,0.639814832,1926.575555,3553.270728,1527.473186,464.29,19,19,19,5.8,120,11,190
CHICKPEA,Balasore,North Eastern Coastal Plain,Alluvial Soil,1998,0.36,340.2,423.2,213.9,977.3,2335.773156,0.639814832,1926.575555,3553.270728,1527.473186,472.22,19,19,19,5.8,120,11,190
GROUNDNUT,Balasore,North Eastern Coastal Plain,Alluvial Soil,1998,6.77,340.2,423.2,213.9,977.3,2335.773156,0.639814832,1926.575555,3553.270728,1527.473186,1301.33,19,19,19,5.8,120,11,190
MAIZE,Balasore,North Eastern Coastal Plain,Alluvial Soil,1998,0.77,340.2,423.2,213.9,977.3,2335.773156,0.639814832,1926.575555,3553.270728,1527.473186,844.16,19,19,19,5.8,120,11,190
MINOR PULSES,Balasore,North Eastern Coastal Plain,Alluvial Soil,1998,30.29,340.2,423.2,213.9,977.3,2335.773156,0.639814832,1926.575555,3553.270728,1527.473186,333.44,19,19,19,5.8,120,11,190
OILSEEDS,Balasore,North Eastern Coastal Plain,Alluvial Soil,1998,14.17,340.2,423.2,213.9,977.3,2335.773156,0.639814832,1926.575555,3553.270728,1527.473186,733.24,19,19,19,5.8,120,11,190
PIGEONPEA,Balasore,North Eastern Coastal Plain,Alluvial Soil,1998,0.28,340.2,423.2,213.9,977.3,2335.773156,0.639814832,1926.575555,3553.270728,1527.473186,607.14,19,19,19,5.8,120,11,190
RICE,Balasore,North Eastern Coastal Plain,Alluvial Soil,1998,420.53,340.2,423.2,213.9,977.3,2335.773156,0.639814832,1926.575555,3553.270728,1527.473186,1066.34,19,19,19,5.8,120,11,190
SESAMUM,Balasore,North Eastern Coastal Plain,Alluvial Soil,1998,1.92,340.2,423.2,213.9,977.3,2335.773156,0.639814832,1926.575555,3553.270728,1527.473186,250,19,19,19,5.8,120,11,190
SUNFLOWER,Balasore,North Eastern Coastal Plain,Alluvial Soil,1998,0.09,340.2,423.2,213.9,977.3,2335.773156,0.639814832,1926.575555,3553.270728,1527.473186,555.56,19,19,19,5.8,120,11,190
CASTOR,Balasore,North Eastern Coastal Plain,Alluvial Soil,1999,0.24,450.4,453.1,438.4,1341.9,2105.250755,1.292744551,1990.751568,3286.976596,1038.024101,458.33,19,19,19,5.8,120,11,190
CHICKPEA,Balasore,North Eastern Coastal Plain,Alluvial Soil,1999,0.32,450.4,453.1,438.4,1341.9,2105.250755,1.292744551,1990.751568,3286.976596,1038.024101,500,19,19,19,5.8,120,11,190
GROUNDNUT,Balasore,North Eastern Coastal Plain,Alluvial Soil,1999,9.46,450.4,453.1,438.4,1341.9,2105.250755,1.292744551,1990.751568,3286.976596,1038.024101,1983.09,19,19,19,5.8,120,11,190
MAIZE,Balasore,North Eastern Coastal Plain,Alluvial Soil,1999,0.74,450.4,453.1,438.4,1341.9,2105.250755,1.292744551,1990.751568,3286.976596,1038.024101,945.95,19,19,19,5.8,120,11,190
MINOR PULSES,Balasore,North Eastern Coastal Plain,Alluvial Soil,1999,39.97,450.4,453.1,438.4,1341.9,2105.250755,1.292744551,1990.751568,3286.976596,1038.024101,380.04,19,19,19,5.8,120,11,190
OILSEEDS,Balasore,North Eastern Coastal Plain,Alluvial Soil,1999,19.79,450.4,453.1,438.4,1341.9,2105.250755,1.292744551,1990.751568,3286.976596,1038.024101,1126.83,19,19,19,5.8,120,11,190
PIGEONPEA,Balasore,North Eastern Coastal Plain,Alluvial Soil,1999,0.35,450.4,453.1,438.4,1341.9,2105.250755,1.292744551,1990.751568,3286.976596,1038.024101,657.14,19,19,19,5.8,120,11,190
RICE,Balasore,North Eastern Coastal Plain,Alluvial Soil,1999,447.62,450.4,453.1,438.4,1341.9,2105.250755,1.292744551,1990.751568,3286.976596,1038.024101,885.06,19,19,19,5.8,120,11,190
SESAMUM,Balasore,North Eastern Coastal Plain,Alluvial Soil,1999,1.69,450.4,453.1,438.4,1341.9,2105.250755,1.292744551,1990.751568,3286.976596,1038.024101,337.28,19,19,19,5.8,120,11,190
SUNFLOWER,Balasore,North Eastern Coastal Plain,Alluvial Soil,1999,0.27,450.4,453.1,438.4,1341.9,2105.250755,1.292744551,1990.751568,3286.976596,1038.024101,518.52,19,19,19,5.8,120,11,190
CASTOR,Balasore,North Eastern Coastal Plain,Alluvial Soil,2000,0.32,314.9,403.2,207.1,925.2,2426.055052,0.508383793,2252.892504,3205.387729,1819.884922,437.5,19,19,19,5.8,120,11,190
CHICKPEA,Balasore,North Eastern Coastal Plain,Alluvial Soil,2000,0.23,314.9,403.2,207.1,925.2,2426.055052,0.508383793,2252.892504,3205.387729,1819.884922,521.74,19,19,19,5.8,120,11,190
GROUNDNUT,Balasore,North Eastern Coastal Plain,Alluvial Soil,2000,10.21,314.9,403.2,207.1,925.2,2426.055052,0.508383793,2252.892504,3205.387729,1819.884922,1165.52,19,19,19,5.8,120,11,190
MAIZE,Balasore,North Eastern Coastal Plain,Alluvial Soil,2000,0.59,314.9,403.2,207.1,925.2,2426.055052,0.508383793,2252.892504,3205.387729,1819.884922,1220.34,19,19,19,5.8,120,11,190
MINOR PULSES,Balasore,North Eastern Coastal Plain,Alluvial Soil,2000,39.86,314.9,403.2,207.1,925.2,2426.055052,0.508383793,2252.892504,3205.387729,1819.884922,418.97,19,19,19,5.8,120,11,190
OILSEEDS,Balasore,North Eastern Coastal Plain,Alluvial Soil,2000,20.54,314.9,403.2,207.1,925.2,2426.055052,0.508383793,2252.892504,3205.387729,1819.884922,755.11,19,19,19,5.8,120,11,190
PIGEONPEA,Balasore,North Eastern Coastal Plain,Alluvial Soil,2000,0.32,314.9,403.2,207.1,925.2,2426.055052,0.508383793,2252.892504,3205.387729,1819.884922,531.25,19,19,19,5.8,120,11,190
RICE,Balasore,North Eastern Coastal Plain,Alluvial Soil,2000,417.55,314.9,403.2,207.1,925.2,2426.055052,0.508383793,2252.892504,3205.387729,1819.884922,1522.38,19,19,19,5.8,120,11,190
SESAMUM,Balasore,North Eastern Coastal Plain,Alluvial Soil,2000,1.47,314.9,403.2,207.1,925.2,2426.055052,0.508383793,2252.892504,3205.387729,1819.884922,285.71,19,19,19,5.8,120,11,190
SUNFLOWER,Balasore,North Eastern Coastal Plain,Alluvial Soil,2000,0.12,314.9,403.2,207.1,925.2,2426.055052,0.508383793,2252.892504,3205.387729,1819.884922,500,19,19,19,5.8,120,11,190
CASTOR,Balasore,North Eastern Coastal Plain,Alluvial Soil,2001,0.35,274.5,417.8,321.4,1013.7,2094.171595,0.571306822,1603.816247,2904.345491,1774.353047,485.71,19,19,19,5.8,120,11,190
CHICKPEA,Balasore,North Eastern Coastal Plain,Alluvial Soil,2001,0.2,274.5,417.8,321.4,1013.7,2094.171595,0.571306822,1603.816247,2904.345491,1774.353047,600,19,19,19,5.8,120,11,190
GROUNDNUT,Balasore,North Eastern Coastal Plain,Alluvial Soil,2001,9.5,274.5,417.8,321.4,1013.7,2094.171595,0.571306822,1603.816247,2904.345491,1774.353047,1925.26,19,19,19,5.8,120,11,190
MAIZE,Balasore,North Eastern Coastal Plain,Alluvial Soil,2001,0.62,274.5,417.8,321.4,1013.7,2094.171595,0.571306822,1603.816247,2904.345491,1774.353047,806.45,19,19,19,5.8,120,11,190
MINOR PULSES,Balasore,North Eastern Coastal Plain,Alluvial Soil,2001,48.04,274.5,417.8,321.4,1013.7,2094.171595,0.571306822,1603.816247,2904.345491,1774.353047,458.16,19,19,19,5.8,120,11,190
OILSEEDS,Balasore,North Eastern Coastal Plain,Alluvial Soil,2001,20.57,274.5,417.8,321.4,1013.7,2094.171595,0.571306822,1603.816247,2904.345491,1774.353047,1133.69,19,19,19,5.8,120,11,190
PIGEONPEA,Balasore,North Eastern Coastal Plain,Alluvial Soil,2001,0.29,274.5,417.8,321.4,1013.7,2094.171595,0.571306822,1603.816247,2904.345491,1774.353047,655.17,19,19,19,5.8,120,11,190
RICE,Balasore,North Eastern Coastal Plain,Alluvial Soil,2001,402.49,274.5,417.8,321.4,1013.7,2094.171595,0.571306822,1603.816247,2904.345491,1774.353047,1821.96,19,19,19,5.8,120,11,190
SAFFLOWER,Balasore,North Eastern Coastal Plain,Alluvial Soil,2001,0.05,274.5,417.8,321.4,1013.7,2094.171595,0.571306822,1603.816247,2904.345491,1774.353047,600,19,19,19,5.8,120,11,190
SESAMUM,Balasore,North Eastern Coastal Plain,Alluvial Soil,2001,2.1,274.5,417.8,321.4,1013.7,2094.171595,0.571306822,1603.816247,2904.345491,1774.353047,361.9,19,19,19,5.8,120,11,190
SUNFLOWER,Balasore,North Eastern Coastal Plain,Alluvial Soil,2001,0.37,274.5,417.8,321.4,1013.7,2094.171595,0.571306822,1603.816247,2904.345491,1774.353047,540.54,19,19,19,5.8,120,11,190
CASTOR,Balasore,North Eastern Coastal Plain,Alluvial Soil,2002,0.21,283.4,297.8,175.7,756.9,2302.454154,0.506250855,2049.325901,3362.927974,1495.108586,476.19,19,19,19,5.8,120,11,190
CHICKPEA,Balasore,North Eastern Coastal Plain,Alluvial Soil,2002,0.19,283.4,297.8,175.7,756.9,2302.454154,0.506250855,2049.325901,3362.927974,1495.108586,684.21,19,19,19,5.8,120,11,190
GROUNDNUT,Balasore,North Eastern Coastal Plain,Alluvial Soil,2002,8.54,283.4,297.8,175.7,756.9,2302.454154,0.506250855,2049.325901,3362.927974,1495.108586,1710.77,19,19,19,5.8,120,11,190
MAIZE,Balasore,North Eastern Coastal Plain,Alluvial Soil,2002,0.53,283.4,297.8,175.7,756.9,2302.454154,0.506250855,2049.325901,3362.927974,1495.108586,943.4,19,19,19,5.8,120,11,190
MINOR PULSES,Balasore,North Eastern Coastal Plain,Alluvial Soil,2002,33.26,283.4,297.8,175.7,756.9,2302.454154,0.506250855,2049.325901,3362.927974,1495.108586,436.26,19,19,19,5.8,120,11,190
OILSEEDS,Balasore,North Eastern Coastal Plain,Alluvial Soil,2002,16.42,283.4,297.8,175.7,756.9,2302.454154,0.506250855,2049.325901,3362.927974,1495.108586,1076.13,19,19,19,5.8,120,11,190
PIGEONPEA,Balasore,North Eastern Coastal Plain,Alluvial Soil,2002,0.21,283.4,297.8,175.7,756.9,2302.454154,0.506250855,2049.325901,3362.927974,1495.108586,714.29,19,19,19,5.8,120,11,190
RICE,Balasore,North Eastern Coastal Plain,Alluvial Soil,2002,374.5,283.4,297.8,175.7,756.9,2302.454154,0.506250855,2049.325901,3362.927974,1495.108586,1071.24,19,19,19,5.8,120,11,190
SESAMUM,Balasore,North Eastern Coastal Plain,Alluvial Soil,2002,1.33,283.4,297.8,175.7,756.9,2302.454154,0.506250855,2049.325901,3362.927974,1495.108586,345.86,19,19,19,5.8,120,11,190
SUNFLOWER,Balasore,North Eastern Coastal Plain,Alluvial Soil,2002,0.1,283.4,297.8,175.7,756.9,2302.454154,0.506250855,2049.325901,3362.927974,1495.108586,600,19,19,19,5.8,120,11,190
CASTOR,Balasore,North Eastern Coastal Plain,Alluvial Soil,2003,0.25,361.3,485.5,233.1,1079.9,2177.190306,0.750781107,1836.488211,3256.714067,1438.36864,480,19,19,19,5.8,120,11,190
CHICKPEA,Balasore,North Eastern Coastal Plain,Alluvial Soil,2003,0.15,361.3,485.5,233.1,1079.9,2177.190306,0.750781107,1836.488211,3256.714067,1438.36864,666.67,19,19,19,5.8,120,11,190
GROUNDNUT,Balasore,North Eastern Coastal Plain,Alluvial Soil,2003,9.08,361.3,485.5,233.1,1079.9,2177.190306,0.750781107,1836.488211,3256.714067,1438.36864,1306.17,19,19,19,5.8,120,11,190
MAIZE,Balasore,North Eastern Coastal Plain,Alluvial Soil,2003,0.54,361.3,485.5,233.1,1079.9,2177.190306,0.750781107,1836.488211,3256.714067,1438.36864,1000,19,19,19,5.8,120,11,190
MINOR PULSES,Balasore,North Eastern Coastal Plain,Alluvial Soil,2003,35.26,361.3,485.5,233.1,1079.9,2177.190306,0.750781107,1836.488211,3256.714067,1438.36864,438.74,19,19,19,5.8,120,11,190
OILSEEDS,Balasore,North Eastern Coastal Plain,Alluvial Soil,2003,17.36,361.3,485.5,233.1,1079.9,2177.190306,0.750781107,1836.488211,3256.714067,1438.36864,861.18,19,19,19,5.8,120,11,190
PIGEONPEA,Balasore,North Eastern Coastal Plain,Alluvial Soil,2003,0.32,361.3,485.5,233.1,1079.9,2177.190306,0.750781107,1836.488211,3256.714067,1438.36864,656.25,19,19,19,5.8,120,11,190
RICE,Balasore,North Eastern Coastal Plain,Alluvial Soil,2003,406.18,361.3,485.5,233.1,1079.9,2177.190306,0.750781107,1836.488211,3256.714067,1438.36864,1664.98,19,19,19,5.8,120,11,190
SESAMUM,Balasore,North Eastern Coastal Plain,Alluvial Soil,2003,1.04,361.3,485.5,233.1,1079.9,2177.190306,0.750781107,1836.488211,3256.714067,1438.36864,365.38,19,19,19,5.8,120,11,190
SUNFLOWER,Balasore,North Eastern Coastal Plain,Alluvial Soil,2003,0.1,361.3,485.5,233.1,1079.9,2177.190306,0.750781107,1836.488211,3256.714067,1438.36864,600,19,19,19,5.8,120,11,190
CASTOR,Balasore,North Eastern Coastal Plain,Alluvial Soil,2004,0.23,266,351.4,411.7,1029.1,2296.284009,0.802430511,2225.844897,3380.528479,1282.478652,521.74,19,19,19,5.8,120,11,190
CHICKPEA,Balasore,North Eastern Coastal Plain,Alluvial Soil,2004,0.14,266,351.4,411.7,1029.1,2296.284009,0.802430511,2225.844897,3380.528479,1282.478652,642.86,19,19,19,5.8,120,11,190
GROUNDNUT,Balasore,North Eastern Coastal Plain,Alluvial Soil,2004,9.27,266,351.4,411.7,1029.1,2296.284009,0.802430511,2225.844897,3380.528479,1282.478652,1366.77,19,19,19,5.8,120,11,190
MAIZE,Balasore,North Eastern Coastal Plain,Alluvial Soil,2004,0.48,266,351.4,411.7,1029.1,2296.284009,0.802430511,2225.844897,3380.528479,1282.478652,1041.67,19,19,19,5.8,120,11,190
MINOR PULSES,Balasore,North Eastern Coastal Plain,Alluvial Soil,2004,40.4,266,351.4,411.7,1029.1,2296.284009,0.802430511,2225.844897,3380.528479,1282.478652,418.81,19,19,19,5.8,120,11,190
OILSEEDS,Balasore,North Eastern Coastal Plain,Alluvial Soil,2004,18.18,266,351.4,411.7,1029.1,2296.284009,0.802430511,2225.844897,3380.528479,1282.478652,883.39,19,19,19,5.8,120,11,190
PIGEONPEA,Balasore,North Eastern Coastal Plain,Alluvial Soil,2004,0.14,266,351.4,411.7,1029.1,2296.284009,0.802430511,2225.844897,3380.528479,1282.478652,642.86,19,19,19,5.8,120,11,190
RICE,Balasore,North Eastern Coastal Plain,Alluvial Soil,2004,418.51,266,351.4,411.7,1029.1,2296.284009,0.802430511,2225.844897,3380.528479,1282.478652,1867.48,19,19,19,5.8,120,11,190
SESAMUM,Balasore,North Eastern Coastal Plain,Alluvial Soil,2004,1.6,266,351.4,411.7,1029.1,2296.284009,0.802430511,2225.844897,3380.528479,1282.478652,406.25,19,19,19,5.8,120,11,190
SUNFLOWER,Balasore,North Eastern Coastal Plain,Alluvial Soil,2004,0.15,266,351.4,411.7,1029.1,2296.284009,0.802430511,2225.844897,3380.528479,1282.478652,600,19,19,19,5.8,120,11,190
CASTOR,Balasore,North Eastern Coastal Plain,Alluvial Soil,2005,0.19,422.3,477.1,302.2,1201.6,2209.4895,0.84883215,1978.929716,3233.946784,1415.591999,526.32,19,19,19,5.8,120,11,190
CHICKPEA,Balasore,North Eastern Coastal Plain,Alluvial Soil,2005,0.13,422.3,477.1,302.2,1201.6,2209.4895,0.84883215,1978.929716,3233.946784,1415.591999,615.38,19,19,19,5.8,120,11,190
GROUNDNUT,Balasore,North Eastern Coastal Plain,Alluvial Soil,2005,11.7,422.3,477.1,302.2,1201.6,2209.4895,0.84883215,1978.929716,3233.946784,1415.591999,1695.73,19,19,19,5.8,120,11,190
MAIZE,Balasore,North Eastern Coastal Plain,Alluvial Soil,2005,0.46,422.3,477.1,302.2,1201.6,2209.4895,0.84883215,1978.929716,3233.946784,1415.591999,1108.7,19,19,19,5.8,120,11,190
MINOR PULSES,Balasore,North Eastern Coastal Plain,Alluvial Soil,2005,41.51,422.3,477.1,302.2,1201.6,2209.4895,0.84883215,1978.929716,3233.946784,1415.591999,522.04,19,19,19,5.8,120,11,190
